fecha,Total
2020-01-15,0.03622318810868186
2020-02-15,0.037201174610866694
2020-03-15,0.03856035850053452
2020-04-15,0.03506546674443478
2020-05-15,0.028542570560331937
2020-06-15,0.02193590619725061
2020-07-15,0.0197146702041191
2020-08-15,0.018783785942076525
2020-09-15,0.019675912106603244
2020-10-15,0.017481932001267575
2020-11-15,0.014895745591514853
2020-12-15,0.01610441780845684
2021-01-15,0.015971682039013446
2021-02-15,0.015629901999253848
2021-03-15,0.015063910409332637
2021-04-15,0.01947599272469991
2021-05-15,0.032953732451628026
2021-06-15,0.03634399728802573
2021-07-15,0.039697111799671614
2021-08-15,0.04440664059994659
2021-09-15,0.045098149772598406
2021-10-15,0.04583242377661656
2021-11-15,0.05258588855183999
2021-12-15,0.056223851153557325
2022-01-15,0.06944187748184216
2022-02-15,0.08004770876292722
2022-03-15,0.08527511741064253
2022-04-15,0.09233675128714869
2022-05-15,0.09066428247774794
2022-06-15,0.09673488795131346
2022-07-15,0.10205393722639577
2022-08-15,0.10835546774069837
2022-09-15,0.11439512298794496
2022-10-15,0.12221405454464951
2022-11-15,0.12531099492741982
2022-12-15,0.1312211122911271
2023-01-15,0.1325165221610427
2023-02-15,0.13278798406921544
2023-03-15,0.13344076880119404
2023-04-15,0.12822634033233182
2023-05-15,0.12359964477072083
2023-06-15,0.12129270853287322
2023-07-15,0.11784603417174422
2023-08-15,0.11426982586148093
2023-09-15,0.10994018821171525
2023-10-15,0.10968340628945472
2023-11-15,0.10917030881758372
2023-12-15,0.10620535417327681
2024-01-15,0.1022458535788695
2024-02-15,0.09836614688180156
2024-03-15,0.09426691911760354
2024-04-15,0.09042937718632249
2024-05-15,0.08663598254777449
2024-06-15,0.08314953559419647
2024-07-15,0.07974765009291906
2024-08-15,0.07655546786209166
2024-09-15,0.07366894256853285
2024-10-15,0.07089735389552754
2024-11-15,0.0684203633351328
2024-12-15,0.0660732234876491
2025-01-15,0.06394206157112481
2025-02-15,0.062202691117081876
2025-03-15,0.060482196046872216
2025-04-15,0.05902231204537167
2025-05-15,0.05772544712885286
2025-06-15,0.056674940488552705
2025-07-15,0.05579512105412454
2025-08-15,0.055111735776931514
2025-09-15,0.05462690952684568
2025-10-15,0.05429930114281478
2025-11-15,0.054141404212872946
2025-12-15,0.054115980688300924
2026-01-15,0.05419420863459212
2026-02-15,0.054327468509685284
2026-03-15,0.05451898900197594
2026-04-15,0.05472655508167534
2026-05-15,0.0549436776057437
2026-06-15,0.05513931449815512
2026-07-15,0.0553108610534534
2026-08-15,0.05543813762080618
2026-09-15,0.055517978902844156
2026-10-15,0.055561559746051925
2026-11-15,0.05557119476310546
2026-12-15,0.05555232114793074
2027-01-15,0.055508517909999
2027-02-15,0.055450843008574946
2027-03-15,0.05537068908191456
2027-04-15,0.0552820637889595
2027-05-15,0.055184694778502186
2027-06-15,0.05508976739311211
2027-07-15,0.05499561892714566
2027-08-15,0.05490980312405114
2027-09-15,0.054838454902639056
2027-10-15,0.054780276134323014
2027-11-15,0.05473809151926945
2027-12-15,0.054702714111314554
2028-01-15,0.05466932504649935
2028-02-15,0.05463463148423764
2028-03-15,0.05458865257590095
2028-04-15,0.05453095643916317
2028-05-15,0.05445751338309934
2028-06-15,0.054376210524573754
2028-07-15,0.054284787553831926
2028-08-15,0.05418882030205374
2028-09-15,0.054094272375271535
2028-10-15,0.05399739435740636
2028-11-15,0.0539067199952763
2028-12-15,0.053818435547891896
2029-01-15,0.053737774617644174
2029-02-15,0.053673146891831225
2029-03-15,0.053612444666292225
2029-04-15,0.053566016927487414
2029-05-15,0.05353132843466524
2029-06-15,0.05351082680696484
2029-07-15,0.05350335214860236
2029-08-15,0.05351001149628298
2029-09-15,0.05353009281030485
2029-10-15,0.05356511036161171
2029-11-15,0.053612964251803286
2029-12-15,0.053677002615768465
2030-01-15,0.05375602172750127
2030-02-15,0.0538403917427448
2030-03-15,0.05394831992254501
2030-04-15,0.054067413408592335
2030-05-15,0.05420573409013896
2030-06-15,0.054354469341841405
2030-07-15,0.05452364536069898
2030-08-15,0.05470866485140036
2030-09-15,0.054902696426645026
2030-10-15,0.055117416717954226
2030-11-15,0.055337449416695605
2030-12-15,0.05557594492370854
2031-01-15,0.055824278676754435
2031-02-15,0.056055852893293956
2031-03-15,0.05631897821455545
2031-04-15,0.056578424912763214
2031-05-15,0.05684903967141919
2031-06-15,0.057111110437448875
2031-07-15,0.05737985534418821
2031-08-15,0.05764431225692879
2031-09-15,0.057894155210203024
2031-10-15,0.058144059711608964
2031-11-15,0.05837608476599665
2031-12-15,0.0586038766056598
2032-01-15,0.058817728193504726
2032-02-15,0.05900363487274296
2032-03-15,0.059185670569425364
2032-04-15,0.0593439447466364
2032-05-15,0.05948752003778868
2032-06-15,0.05960579075712369
2032-07-15,0.05970595817257496
2032-08-15,0.05978372096846596
2032-09-15,0.05983767247816796
2032-10-15,0.0598714395143527
2032-11-15,0.05988287210567367
2032-12-15,0.05987276210238246
2033-01-15,0.05984039910314154
2033-02-15,0.05979206637880474
2033-03-15,0.0597174787347714
2033-04-15,0.05962472842221889
2033-05-15,0.059508449913457495
2033-06-15,0.05937690572708143
2033-07-15,0.0592220940653061
2033-08-15,0.05904887198064723
2033-09-15,0.05886532125186483
2033-10-15,0.05866197038986165
